

 AStar finished. Time of algorithm: 13.514937 seconds.

Distance 958815.812168 meters.

The number of nodes visited is 6649 .

Node id:  195977239 | Distance:  958815.81  
Node id:  710632992 | Distance:  958806.36  
Node id: 1344516329 | Distance:  958803.69  
Node id:  195977236 | Distance:  958786.63  
Node id:  195977234 | Distance:  958744.67  
Node id:  195977233 | Distance:  958737.52  
Node id:  195977231 | Distance:  958693.43  
Node id:  197992436 | Distance:  958683.08  
Node id:  197992437 | Distance:  958645.83  
Node id:  195979462 | Distance:  958615.66  
Node id:  195987187 | Distance:  958575.52  
Node id:  195987188 | Distance:  958548.33  
Node id:  813726741 | Distance:  958539.03  
Node id:  195986624 | Distance:  958501.31  
Node id:  195986625 | Distance:  958483.28  
Node id:  195991151 | Distance:  958461.08  
Node id:  195986626 | Distance:  958445.74  
Node id:  195986628 | Distance:  958415.29  
Node id:  195986629 | Distance:  958390.52  
Node id:  195986631 | Distance:  958347.56  
Node id:  192049103 | Distance:  958337.85  
Node id:  192046124 | Distance:  958306.51  
Node id:  192045455 | Distance:  958290.71  
Node id:  192044661 | Distance:  958278.49  
Node id:  196078867 | Distance:  958274.01  
Node id:  196079272 | Distance:  958238.96  
Node id:  196079273 | Distance:  958229.70  
Node id:  196079276 | Distance:  958214.45  
Node id:  196079277 | Distance:  958203.91  
Node id:  196079279 | Distance:  958184.51  
Node id:  196079280 | Distance:  958163.66  
Node id:  192042752 | Distance:  958152.19  
Node id:  192042750 | Distance:  958122.39  
Node id:  192042202 | Distance:  958104.85  
Node id:  192036317 | Distance:  958089.62  
Node id:  192036314 | Distance:  958048.97  
Node id:  192036313 | Distance:  958040.66  
Node id:  192036312 | Distance:  958033.73  
Node id:  192036310 | Distance:  958012.47  
Node id:  192036308 | Distance:  957984.25  
Node id:  192040949 | Distance:  957975.31  
Node id:  440230374 | Distance:  957947.61  
Node id:  440230392 | Distance:  957934.89  
Node id:  440230368 | Distance:  957910.54  
Node id:  195968314 | Distance:  957901.41  
Node id:  195970143 | Distance:  957869.98  
Node id:  813726761 | Distance:  957855.14  
Node id:  813726797 | Distance:  957849.57  
Node id:  206396056 | Distance:  957729.80  
Node id:  206396058 | Distance:  957651.96  
Node id:  206396059 | Distance:  957606.99  
Node id:  307743882 | Distance:  957586.95  
Node id:  206396060 | Distance:  957548.20  
Node id:  835459078 | Distance:  957544.62  
Node id:  835459077 | Distance:  957538.93  
Node id:  206396061 | Distance:  957501.67  
Node id:  206396100 | Distance:  957469.70  
Node id:  206396102 | Distance:  957431.60  
Node id:  206396103 | Distance:  957409.04  
Node id:  234635918 | Distance:  957380.05  
Node id:  307740439 | Distance:  957370.73  
Node id:  234636509 | Distance:  957357.83  
Node id:  234635868 | Distance:  957322.40  
Node id:  828193972 | Distance:  957314.36  
Node id:  234635836 | Distance:  957309.64  
Node id:  234635814 | Distance:  957256.77  
Node id:  234635803 | Distance:  957234.84  
Node id:  804426761 | Distance:  957219.52  
Node id:  234635798 | Distance:  957174.40  
Node id:  234635794 | Distance:  957113.17  
Node id:  234635788 | Distance:  957070.38  
Node id:  234635779 | Distance:  957031.88  
